ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,154.4,154.7,106.31204,,0,,159.5,,642611,,154.4,130.4897,,154.7,,642611,,,,,,,,,152.7,2,NOK,548834,,,,108481822720,,,448939,,152.7,159.2,,,548834,168.2,,,,66.7,158.7,False,,,159.5,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.39099097,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.16599834,,0.66005,1640908800,1593475200,,,227972750,103751999488,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,18.15,17.95,21.682117,,0.4088,,18.4,,46730,,18.15,18.510294,,17.95,,46730,,,,4.21,1591228800,,,,17.95,2,NOK,65831,,,,424533952,,,72827,,17.95,18.15,,,65831,33.4,,,,16.1,18,False,0.23200001,,18.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.069230795,,,,23390300,,,,,,,,0.09734,,,,0.16599834,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,1.2,1.4,1.2384672,0.0033333334,,,1.4,,58837,,1.2,1.2541176,0.004,1.4,,58837,,,,0.04,1591142400,-0.700348,,,1.23,4,NOK,76742,,,,61505024,,,52516,,1.23,1.29,,394100,76742,1.85,,,,1.05,1.28,False,0.0294,60000,1.4,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.24050629,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.16599834,7.7575755,0.46798,1640908800,1585612800,,,24350240,61505068,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,
FIVEPG,1123,Communication Services,16,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,1.69,1.69,1.3054119,,0,,2.03,,3516999,,1.69,1.7450074,,1.69,,3516999,,,,,,2.714866,,,1.615,4,NOK,13101325,,,,194030352,,,4212026,,1.615,1.86,,0,13101325,3.8,,,,0.25,1.825,False,,0,2.03,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.1948054,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.16599834,10.488506,0.50402,1640908800,1577750400,,,46798691,90813856,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,61.8,62,54.39854,0.002669903,2.2674,,63.4,,40773,,61.8,55.594116,0.165,62,,40773,,,,1.07,1597622400,1.121996,,,61.2,2,NOK,20562,,,,1365727360,,,30162,49.304237,61.2,61.8,,,20562,93.8,,,,39,61.2,False,0.0174,,63.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,57.911,,0.16968,,-0.20769233,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.16599834,9.903537,0.57717997,1640908800,1593475200,,,6990487,1604127872,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,296.15384,,,,,,
AASB-ME,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,114,114,119.25548,0.07017544,1.0156,,114,,2,,114,113,8,114,,2,,,,8,1583798400,,,,114,2,NOK,0,,,,115585744,,,37,1.0540278,114,0,,,0,153,,,,105,111,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.372,,0.38217998,,-0.025641024,,,,1013910,,,433.178,,,,1577750400,0,41910000,40.002,,0.16599834,0.26317126,0,1640908800,1593475200,,,553343,808410112,,,,,,0.341,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,2.8498576,47 74 08 63 01,,,,,
AKBM-ME,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,95,95,96.38433,,,,96,,149984,,95,96.38433,,95,,149984,,,,,,,,,94.5,2,NOK,96852,,,,,,,156633,,94.5,95.96,,,96852,114,,,,87,95.6,False,,,96,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,42.499,,-0.00658,199.834,-0.092645645,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.16599834,36.925453,,1609372800,1514678400,,,14611039,6601518592,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,PO Box 496,,,,,,,
ANDF-ME,8400,Consumer Defensive,,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,Farm Products,55.25,55.5,54.928974,,0,,55.6,,14524,,55.25,54.865295,,55.5,,14524,,,,,,,,,53.53,2,NOK,10797,,,,,,,45867,,53.53,54.69,,,10797,65,,,,46.5,53.7,False,,,55.6,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,992.287,,0,-203.962,-0.06514382,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.16599834,11.129426,,1640908800,,,,,1633830912,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,8402 Sortland,,,,,,,
AKVA,4353,Industrials,1431,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,Farm & Heavy Construction Machinery,64,65,60.27883,0.015625,,,65,,3422,,64,62.464706,1,65,,3422,,,,2,1582502400,0.655052,,,63,2,NOK,2483,,,,2115378304,,,5468,0.69569045,63,63.6,,49600,2483,79.8,11.13438,,,41.3,62.6,False,0.0318,34200,65,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.052,,0.0013400001,28.195,-0.19191915,,5.73,,33156400,,,31.016,,,,1577750400,0.13203,4087000,0.123,,0.16599834,2.0570028,0.7511,1640908800,1593475200,,,8065299,3199132672,,,,,,-0.095,,,,,,,,https://logo.clearbit.com/akvagroup.com,,518.69916,,,,,,
AQUA,0161,Energy,431,"AqualisBraemar ASA, an investment holding company, provides marine and engineering consultancy services to the offshore oil and gas industry and offshore renewables market worldwide. It offers marine and offshore engineering services, such as deep and shallow water installation engineering; marine operations and surveying, including rig moving and tow master, as well as engineering support services; owns and supervises vessel construction; engineering and project management services; concept, FEED, and basic design services for new-build and vessel upgrades; and rig inspection services. The company also provides marine warranty and consultancy, risk consulting, transportation and installation, dynamic positioning and critical systems, and technical due diligence services. The company was formerly known as Aqualis ASA and changed its name to AqualisBraemar ASA in June 2019. AqualisBraemar ASA was incorporated in 2014 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://aqualisbraemar.com,1,Olav Vs gate 6,Oil & Gas Equipment & Services,5.5,5.5,3.7518978,0.0009090909,0,,5.5,,32868,,5.5,4.5214705,0.005,5.5,,32868,,,,0.2,1591833600,1.076655,,,5.15,2,NOK,33794,,,,383224352,,,43514,5.771712,5.15,5.4,,385400,33794,5.85,38.92857,,,2.15,5.2,False,0.037,402100,5.5,OSL,AQUALISBRAEMAR ASA,AqualisBraemar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AQUA.OL,finmb_266259656,no_market,,5.697,,0.18611999,225.547,0.47849464,,0.14,,70316400,,,0.686,,,,1577750400,0.07898,12358000,0.201,,0.16599834,7.9446063,0.58599,1640908800,1585612800,,,20787638,378241760,,,,,,,,,,,,,,https://logo.clearbit.com/aqualisbraemar.com,,27.114426,,,,,,
