ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
AASB-ME,7630,Financial Services,29,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,114,119,118.73913,0.07017544,0.67620003,,119,,0,,114,113.117645,8,119,,0,,,,8,1583798400,0.40223,,,119,2,NOK,2.878986,10,,,,120655288,,,36,1.0992546,119,120,,,10,153,,,,105,111,False,0.070199996,,119,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.419,,0.38182,,-0.025641024,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,,0.18023336,0.2375202,0,1640908800,1593475200,,,553343,704501056,,,,,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,
ASC,0250,Financial Services,275,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1,Munkedamsveien 45 East,,Capital Markets,4.57,4.59,3.8553262,0.04814004,0.8062,,4.59,,137313,,4.57,4.4227943,0.22,4.59,,137313,,,,0.22,1588118400,0.958768,,,4.57,4,NOK,9.956428,99963,,,,2015274112,,,405275,1.4258846,4.57,4.575,,185000,99963,4.625,10.627907,,10.54,2.69,4.56,False,0.0481,340000,4.59,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ASC.OL,finmb_2972520,no_market,,1.11,,0.17288,,0.42812502,,0.43,,440979008,,,1.493,,,,1577750400,0.19143,244343008,0.459,,0.18023336,3.0609512,0.18238,1640908800,1593475200,,,342568196,1569215360,,,,,,0.229,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,,,,,
ADE,0159,Communication Services,3564,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,160.3,160.3,107.60616,,0,,163.4,,563072,,160.3,137.73088,,160.3,,563072,,,,,,,,,158.7,2,NOK,,219725,,,,109029711872,,,460577,,158.7,159.3,,,219725,168.2,,,,66.7,159.1,False,,,163.4,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.48977697,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.18023336,,0.66005,1640908800,1593475200,,,227972750,104996503552,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,
2020,HM11,Industrials,4,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,59.8,59.8,54.101448,0.0027591975,0.8163,,60,,26754,,59.8,56.464706,0.165,59.8,,26754,,,,1.06,1597622400,1.121996,,,58,2,NOK,284.6154,38157,,,,1312517248,,,28635,47.383293,58,59.4,,,38157,93.8,,,,39,59.2,False,0.0177,,60,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,56.47,,0.16968,,-0.22327572,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,,0.18023336,9.517685,0.57717997,1640908800,1593475200,,,6990487,1564220160,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,,,,,
AFG,0663,Industrials,5524,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1,Innspurten 15,,Engineering & Construction,176.6,176.6,167.51086,0.033975083,1.0266,,176.6,,11968,,176.6,177.8,6,176.6,,11968,,,,12,1589760000,0.439024,,,173,2,NOK,23.755314,8949,,,,18187558912,,,17330,0.7374431,173,173.4,,178000,8949,185,20.643621,,5.43,124.5,173.2,False,0.068,52100,176.6,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AFG.OL,finmb_6174594,no_market,,0.807,,0.030369999,16.256,0.038823605,,8.39,,105009000,,,20.408,,,,1577750400,0.14407,749000000,7.291,,0.18023336,8.486867,0.60915,1640908800,1593475200,,,41049068,19897589760,,1263772800,5:1,,,-0.36,,,,,,,,https://logo.clearbit.com/afgruppen.com,,,,,,
ADSC-ME,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,17.95,18,21.510508,,0.4088,,18.1,,41903,,17.95,18.39853,,18,,41903,,,,4.21,1591228800,,,,17.7,2,NOK,,25570,,,,423364448,,,70216,,17.7,18.1,,,25570,33.4,,,,16.1,18,False,0.23200001,,18.1,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.055263102,,,,23390300,,,,,,,,0.09734,,,,0.18023336,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,
AKERBP,1366,Energy,1703,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,,Oil & Gas E&P,173.6,175.05,176.21558,0.010529953,,,177.45,,565945,,173.6,181.37354,1.828,175.05,,565945,,,,7.41,1596153600,1.664343,,,173.95,2,NOK,,367547,,,,63363989504,,,1254683,20.681868,173.95,176.2,,,367547,297.9,,,,89.42,176.15,False,0.0423,,177.45,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,21.638,,-0.031630002,30.256,-0.23253757,,,,359614016,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,,0.18023336,33.13899,0.70299006,1640908800,1593475200,,,106384610,66292453376,,1261526400,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,Fornebuporten OksenOeyveien 10 Lysaker,,,,,
AKSO,1366,Energy,13000,"Aker Solutions ASA provides products, systems, and services to the oil and gas industry worldwide. The company operates through Projects and Services segments. It offers field planning, feasibility, and concept studies; floater designs; digital solutions; offshore wind solutions; and deep water risers. The company also provides engineering, project management, and procurement services, such as design of offshore oil and gas production facilities, and onshore receiving and processing facilities; jacket designs; subsea production systems; subsea trees; and control systems. In addition, it offers subsea wellheads engineering, manufacturing, installation, and life-of-field support services, including umbilical systems, subsea structures, tie-in systems, subsea compression and pump systems, subsea power distribution and processing systems, and intervention and workover systems; lifecycle, hook-up and completion, maintenance, modification, asset integrity management, and yards and fabrication services, as well as carbon capture, utilization, and storage services. Aker Solutions ASA was founded in 1841 and is headquartered in Fornebu, Norway.",Fornebu,47 67 51 30 00,Norway,[],http://akersolutions.com,1,OksenÃ¸yveien 8,47 67 82 69 50,Oil & Gas Equipment & Services,10.87,11.1,9.732561,0.13339467,0,,11.19,,6309354,,10.87,13.714,1.45,11.1,,6309354,,,,,1428624000,2.095818,,,10.66,2,NOK,,2205097,,,,2950581760,,,6034389,0.111963786,10.66,10.86,,58500,2205097,30.2,4.6566525,,,4.362,10.84,False,,156700,11.19,OSL,AKER SOLUTIONS ASA,Aker Solutions ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKSO.OL,finmb_262890984,no_market,,0.41,,-0.03779,17.039,-0.58416224,,2.33,,271943008,,,24.02,,,,1577750400,0.26966998,-996000000,-3.667,,0.18023336,0.45170692,0.46942002,1640908800,1593475200,,,130227946,10803017728,,1175212800,1:5,,,,,,,,,,,https://logo.clearbit.com/akersolutions.com,,,,,,
AKVA,4353,Industrials,1431,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,,Farm & Heavy Construction Machinery,64.4,63.6,60.108696,0.01552795,15.3846,,64.4,,3794,,64.4,62.97059,1,63.6,,3794,,,,2,1582502400,0.655052,,,63,2,NOK,523.5772,1826,,,,2135272192,,,5322,0.702233,63,64.4,,49600,1826,79.8,11.239093,,,41.3,63.6,False,0.0309,34200,64.4,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.059,,0.0013400001,28.371,-0.19095474,,5.73,,33156400,,,31.016,,,,1577750400,0.13203,4087000,0.123,,0.18023336,2.0763476,0.7511,1640908800,1593475200,,,8066625,3219026432,,,,,,-0.095,,,,,,,,https://logo.clearbit.com/akvagroup.com,,,,,,
AEGA,274,Utilities,2,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.25,1.25,1.2381159,0.0032000002,,,1.28,,65508,,1.25,1.262647,0.004,1.25,,65508,,,,0.04,1591142400,-0.700348,,,1.23,4,NOK,,22502,,,,60063500,,,54690,,1.23,1.28,,394100,22502,1.85,,,,1.05,1.25,False,0.031,60000,1.28,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.10071939,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.18023336,7.5757575,0.46798,1640908800,1585612800,,,24350240,60063540,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,
