ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err
2020,2020 Bulkers,Industrials,62.0,61.6,62.0,38,,1374.6,0.0349,0.1088,0.1128,-0.2854,-0.1528,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,60.0,61.0,54.688404000000006,0.0027500002000000003,2.2674,,62.4,,37289.0,,60.0,55.323530000000005,0.165,61.0,,37289.0,,,,1.07,1597622400.0,1.121996,,,61.0,2.0,NOK,8000.0,,,,1374595840.0,,,31806.0,49.624396999999995,61.0,62.0,,,8000.0,93.8,,,,39.0,61.6,False,0.0315,,62.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,56.63,,0.16968,,-0.24802607,,,,22170900.0,,,6.22,,,,1577750400.0,0.19871001,4700000.0,0.20800000000000002,,0.15364361,9.967846,0.57717997,1640908800.0,1593475200.0,,,6990487.0,1568654336.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,2nd Floor 9 Par-la-Ville Road,298.0769,,,,,,
FIVEPG,5th Planet Games,Communication services,1.75,1.73,1.75,564,LP,185.53,-0.0412,-0.1404,0.2554,4.974,2.1048,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,1.82,1.83,1.2898726,,0.0,,1.855,,3881049.0,,1.82,1.7433011999999999,,1.83,,3881049.0,,,,,,2.714866,,,1.68,4.0,NOK,1956073.0,,,,185524912.0,,,4250138.0,,1.68,1.74,,0.0,1956073.0,3.8,,,,0.25,1.73,False,,0.0,1.855,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.6376812,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.15364361,10.028736,0.50402,1640908800.0,1577750400.0,,,46798691.0,97799536.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,113.0,120.0,0,LP,115.59,,,,-0.0514,0.08289999999999999,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,114.0,114.0,119.50725,0.07017544,1.0156,,114.0,,2.0,,114.0,113.02941000000001,8.0,114.0,,2.0,,,,8.0,1583798400.0,,,,114.0,2.0,NOK,0.0,,,,115585744.0,,,37.0,1.0540278,114.0,0.0,,,0.0,153.0,,,,105.0,111.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.372000000000001,,0.38217998,,-0.025641024,,,,1013910.0,,,433.17800000000005,,,,1577750400.0,0.0,41910000.0,40.001999999999995,,0.15364361,0.26317126,0.0,1640908800.0,1593475200.0,,,553343.0,808410112.0,,,,,,0.341,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,2.8498576,47 74 08 63 01,,,,,
ASC,ABG Sundal Collier Holding,Financials,4.58,4.54,4.58,20,,2017.48,-0.0108,0.0281,0.0033,0.2159,0.5869,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,47 22 01 60 00,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.625,4.625,3.8345652,0.04756757,0.8062,,4.625,,277372.0,,4.625,4.3663235,0.22,4.625,,277372.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.54,4.0,NOK,19173.0,,,,2017478912.0,,,433771.0,1.4274447000000001,4.54,4.575,,185000.0,19173.0,4.625,10.639534,,10.54,2.69,4.54,False,0.0476,340000.0,4.625,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.127,,0.17288,,0.43188858,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.15364361,3.0642998,0.18238,1640908800.0,1593475200.0,,,342568196.0,1593444480.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,7th floor,9.967319999999999,,,,,,
ADE,Adevinta,Communication services,154.9,154.7,155.0,2097,,106084.74,-0.0006,-0.0019,0.3377000000000001,0.4894,0.5157,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,155.0,160.5,106.04166399999998,,0.0,,162.0,,595827.0,,155.0,128.74706,,160.5,,595827.0,,,,,,,,,153.7,2.0,NOK,304636.0,,,,106084810752.0,,,443023.0,,153.7,154.9,,,304636.0,168.2,,,,66.7,154.7,False,,,162.0,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.47619045,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.15364361,,0.66005,1640908800.0,1593475200.0,,,227972750.0,101524996096.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.3,18.0,18.1,9,,428.04,0.0195,0.0139,-0.0214,-0.2479,0.1566,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,17.95,17.9,21.760145,,0.4088,,18.3,,48833.0,,17.95,18.541176,,17.9,,48833.0,,,,4.21,1591228800.0,,,,17.8,2.0,NOK,3282.0,,,,428042464.0,,,76990.0,,17.8,18.1,,,3282.0,33.4,,,,16.1,18.0,False,0.2332,,18.3,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.093434274,,,,23390300.0,,,,,,,,0.09734,,,,0.15364361,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,22 Amathountos Agios Tychonas,,,,,,,
AEGA,Aega,Utilities,1.26,1.27,1.36,8,,60.54,-0.0735,-0.0526,0.0678,0.0862,0.0536,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.36,1.28,1.2381159,0.0029411765000000004,,,1.28,,42606.0,,1.36,1.2547058999999998,0.004,1.28,,42606.0,,,,0.04,1591142400.0,-0.700348,,,1.26,4.0,NOK,17438.0,,,,60544008.0,,,50902.0,,1.26,1.36,,394100.0,17438.0,1.85,,,,1.05,1.27,False,0.0301,60000.0,1.28,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.042253494,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.15364361,7.6363635,0.46798,1640908800.0,1585612800.0,,,24350240.0,65349132.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,
AFG,AF Gruppen,Industrials,178.0,177.6,178.0,17,,18691.6,-0.005600000000000001,0.023,-0.0155,0.049,0.17010000000000006,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,47 22 89 11 00,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,179.0,179.0,167.37173,0.053072624000000006,1.0266,,179.0,,10602.0,,179.0,177.62941,9.5,179.0,,10602.0,,,,12.0,1589760000.0,0.43902399999999997,,,177.6,2.0,NOK,1030.0,,,,18691602432.0,,,18604.0,0.7801821,177.6,178.0,,178000.0,1030.0,185.0,21.215733,,5.43,124.5,177.6,False,0.067,52100.0,179.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.82,,0.03506,15.084000000000001,0.08484852,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.15364361,8.013326,0.60915,1640908800.0,1585612800.0,,,40215335.0,19639955456.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,,21.557467000000003,,,,,,
AKA,Akastor,Energy,6.22,6.21,6.25,56,,1689.41,-0.0235,0.041900000000000014,0.1107,-0.3742,-0.3742,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,6.37,6.39,5.5183334,,0.0,,6.59,,445641.0,,6.37,5.540441,,6.39,,445641.0,,,,,1397174400.0,1.36353,,,6.22,2.0,NOK,79050.0,,,,1689414016.0,,,493792.0,0.2983249,6.22,6.25,,52200.0,79050.0,12.4,15.549999,,,3.52,6.21,False,,227000.0,6.59,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.7090000000000001,,-0.0498,12.915999999999999,-0.36427152,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.15364361,0.41871423,0.51141,1640908800.0,1593475200.0,,,136612714.0,4016999936.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,OksenÃ¸yveien 10 Lysaker,,,,,,,
AKER,Aker,Financials,410.4,410.2,410.8,376,,30481.54,-0.0182,0.0059,0.1102,-0.2222,0.0397,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,418.0,418.0,344.2058,0.028110048,0.0,,420.0,,99560.0,,418.0,385.02942,11.75,418.0,,99560.0,,,,11.75,1595289600.0,1.71777,,,410.0,2.0,NOK,24708.0,,,,30481557504.0,,,193778.0,0.6470706999999999,410.0,410.8,,111700.0,24708.0,566.0,15.634286,,,182.2,410.2,False,0.0279,108400.0,420.0,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.909,,-0.08871,35.189,-0.0071259140000000006,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.15364361,1.6322504,0.70268,1640908800.0,1593475200.0,,,67696448.0,89942835200.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,,,47 24 13 01 01,,,,,
