ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,fax,trailingPE,state,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
ADSC-ME,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,Marine Shipping,22 Amathountos Agios Tychonas,16.3,16.3,20.26241,,0.56060004,,16.4,,83270,,16.3,16.069118,,16.3,,83270,,,,5.44,1598918400,,,,16.1,2,NOK,11650,,,,381261888,,,91271,,16.1,16.3,,,11650,33.4,,,,13.1,16.15,False,0.33580002,,16.4,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.37692302,,,,23390300,,,,,,,,0.09734,,,1.6,0.16381514,,0,,,,,,,,,,,1598918400,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,,,,,,,
ADE,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,Internet Content & Information,,168,174.7,120.47409,,0,,175,,483284,,168,159.82059,,174.7,,483284,,,,,,,,,168,2,NOK,908834,,,,116837122048,,,784512,,168,170.9,,,908834,183,,,,66.7,170.6,False,,,175,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.6168225,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.16381514,,0.66005,1640908800,1593475200,,,227972750,113314996224,,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564,,,,,,,
AEGA,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,Utilities—Renewable,,1.65,1.65,1.2602919,0.0024242427,,,1.65,,123543,,1.65,1.3852941,0.004,1.65,,123543,,,,0.04,1591142400,-0.725985,,,1.6,4,NOK,297471,,,,76881280,,,134037,,1.6,1.6,,394100,297471,2,,,,1.05,1.6,False,0.025,60000,1.65,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,0.3114754,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,0.04,0.16381514,9.696969,0.46798,1640908800,1593475200,,,24310358,79283872,,,,,1591142400,,,,,,,,,,https://logo.clearbit.com/aega.no,2,,,,,,,
AASB-ME,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,Banks—Regional,,128,128,116.832115,0.0625,0.67620003,,128,,23,,128,122.882355,8,128,,23,,,,8,1583798400,0.398166,,,128,2,NOK,50,,,,129780480,,,42,1.1823915,128,128,,,50,153,,,,105,127,False,0.0625,,128,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,6.548,,0.38182,,0.06666672,,,,1013910,,,501.01,,,,1577750400,0,41909000,41.334,8,0.16381514,0.25548393,0,1640908800,1593475200,,,553343,718695872,,,,,1583798400,,0.343,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,29,47 74 08 63 01,3.0967243,,,,,
AGLX-ME,97223,Industrials,"Agilyx AS engages in the chemical recycling of post-use plastics back into plastics, chemical intermediates, and low carbon fuels. The company develops systems and technologies to transform non-recyclable plastics into a range of valuable products, including a liquid from styrofoam recycling that is used in pharmaceutical, agricultural, safety, construction, food packaging, durable goods, composites, insulation, and shipping industry products; and a drop-in replacement for fossil crude oil used by refineries. It serves waste and recycling companies, municipalities, and industrial waste plastics generators. The company was founded in 2004 and is headquartered in Tigard, Oregon.",Tigard,503 217 3160,United States,[],http://www.agilyx.com,1,13240 SW Wall Street,Waste Management,,28.51,28.995,31.64,,,,29.745,,1008494,,28.51,31.64,,28.995,,1008494,,,,,,,,,28.5,2,NOK,107994,,,,2122637184,,,1008494,,28.5,29.2,,,107994,40,,,,28.1,28.705,False,,,29.745,OSL,AGILYX AS,Agilyx AS,Europe/Oslo,CEST,False,7200000,EQUITY,AGLX-ME.OL,finmb_54209123,no_market,,,,0,,-0.043613613,,,,72705504,,,,,,,,,,,,0.16381514,,,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/agilyx.com,,503 217 3161,,OR,,,,
ACC-ME,1366,Industrials,"Aker Carbon Capture AS provides carbon capture technologies. Its technologies mitigate the environmental cost of industry. The company's carbon capture process uses a mixture of water and organic amine solvents to absorb the CO2 that can be applied on emissions from various sources, such as gas, coal, cement, refineries, and waste-to-energy through to hydrogen and other process industries. Its portfolio of products include Just Catch, Big Catch, and Offshore Just Catch, as well as mobile test unit. The company is based in Lysaker, Norway. Aker Carbon Capture AS(OB:ACC-ME) operates independently of Aker Solutions ASA as of August 26, 2020.",Lysaker,47 67 51 30 00,Norway,[],http://www.akercarboncapture.com,1,OksenÃ¸yveien 8,Pollution & Treatment Controls,,8.536,8.897,5.619776,,,,9.085,,9521061,,8.536,5.619776,,8.897,,9521061,,,,,,,,,8.4,2,NOK,3763399,,,,4869814272,,,7302565,,8.4,8.603,,,3763399,10.7,,,,3.85,8.555,False,,,9.085,OSL,AKER CARBON CAPTUR,Aker Carbon Capture AS,Europe/Oslo,CEST,False,7200000,EQUITY,ACC-ME.OL,finmb_677426400,no_market,,,,0,,0.6831683,,,,566060032,,,0.031,,,,,,,,,0.16381514,277.5161,,,1596153600,,,,4811513344,,,,,,,,,,,,,,,https://logo.clearbit.com/akercarboncapture.com,21,47 67 82 69 50,,,,,,
AKBM-ME,1327,Healthcare,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,PO Box 496,90,90.1,94.68046,,,,90.5,,41091,,90,93.15,,90.1,,41091,,,,,,,,,87.11,2,NOK,126522,,,,,,,86323,,87.11,87.99,,,126522,114,,,,87,87.63,False,,,90.5,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,42.733,,-0.00658,200.934,-0.14517665,,,,,,,2.051,,,,1546214400,,-1022000,-0.015,,0.16381514,42.905895,,1609372800,1593475200,,,14751544,6637849600,,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,,,,,,,,
AKVA,4353,Industrials,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,Farm & Heavy Construction Machinery,,71.8,71.8,60.38029,0.013927576,15.3846,,71.8,,7018,,71.8,66.31765,1,71.8,,7018,,,,2,1582502400,0.696428,,,70.6,2,NOK,2274,,,,2359838464,,,3773,0.7760868,70.6,71.8,,49600,2274,77.4,12.425828,,,41.3,71.4,False,0.0279,34200,71.8,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.152,,0.0013400001,30.879,-0.055263102,,5.73,,33143800,,,31.016,,,,1577750400,0.13203,4087000,0.123,1,0.16381514,2.2955892,0.7511,1640908800,1593475200,,,8058999,3503630848,,,,,1582502400,,-0.095,,,,,,,,https://logo.clearbit.com/akvagroup.com,1431,,578.86176,,,,,
AOW-ME,1366,Energy,"Aker Offshore Wind Holding AS engages in the development of deep-water wind power production. It has a portfolio of development projects and prospects in Europe, North America, and Asia. The company is based in Lysaker, Norway. Aker Offshore Wind Holding AS(OB:AOW-ME) operates independently of Aker Solutions ASA as of August 26, 2020.",Lysaker,47 67 51 30 00,Norway,[],http://www.akeroffshorewind.com,1,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,,5.2,5.28,4.094707,,,,5.35,,10415917,,5.2,4.094707,,5.28,,10415917,,,,,,,,,5,2,NOK,4646909,,,,3084878080,,,11818120,,5,5.048,,,4646909,6.599,,,,1.99,5.04,False,,,5.35,OSL,AKER OFFSHORE WIND,Aker Offshore Wind Holding AS,Europe/Oslo,CEST,False,7200000,EQUITY,AOW-ME.OL,finmb_677430128,no_market,,,,0,,0.59530795,,,,612078976,,,0.494,,,,,,,,,0.16381514,10.20243,,,1596153600,,,,3329708800,,,,,,,,,,,,,,,https://logo.clearbit.com/akeroffshorewind.com,30,,,,,,,
2020,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,Marine Shipping,2nd Floor 9 Par-la-Ville Road,59.2,61.4,53.186863,0.0027871623,0.8163,,61.4,,20204,,59.2,58.558823,0.165,61.4,,20204,,,,3.25,1599782400,1.09372,,,59.2,2,NOK,29253,,,,1316951552,,,17863,47.543377,59.2,59.4,,,29253,93.8,,,,39,59.4,False,0.0542,,61.4,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,55.99,,0.16968,,-0.2647059,,,,22170900,,,6.22,,,,1577750400,0.19871001,4700000,0.208,0.03,0.16381514,9.54984,0.57717997,1640908800,1593475200,,,6990487,1550917632,,,,,1599782400,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4,,285.57693,,,,,
AMSC,1366,Industrials,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,,Norway,[],http://www.americanshippingco.com,1,Building B,Marine Shipping,OksenOeyveien 10,29.3,29.3,25.972483,0.011604096,2.1353,,29.5,,42739,,29.3,28.979412,0.34,29.3,,42739,,,,3.58,1598486400,0.999384,,,29,2,NOK,21142,,,,1788186752,,,50166,20.296318,29,29.65,,114600,21142,37.5,79.72973,,11.52,15.06,29.5,False,0.1223,172600,29.5,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AMSC.OL,finmb_22594564,no_market,,25.936,,0.106709994,26.826,-0.14411765,,0.37,,60616500,,,2.607,,,,1577750400,0.19708,9402000,0.155,0.8958,0.16381514,11.315688,0.28123,1640908800,1593475200,,,43989211,2285039872,,,,,1598486400,,0.571,,,,,,,,https://logo.clearbit.com/americanshippingco.com,3,,190.32259,,,,,
ABT,1366,Healthcare,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",Lysaker,,Norway,[],http://www.aquabiotechnology.com,1,Fornebuveien 37,Biotechnology,,5.75,5.75,4.2747445,0.17391305,0,,6.1,,98346,,5.75,6.4382353,1,5.75,,98346,,,,,1496880000,1.405788,,,5.65,2,NOK,89988,,,,92132400,,,117635,104.48362,5.65,6,,320000,89988,9.2,-11.111111,,,1.25,5.95,False,,330000,6.1,OSL,AQUA BIO TECHNOLOG,Aqua Bio Technology ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ABT.OL,finmb_39453852,no_market,,99.172,,0,-7.25,1.0535715,,-0.54,,15355400,,,0.06,,,,1577750400,0.02359,-10915715,-0.75,1,0.16381514,100,0.80484,1640908800,1593475200,,,6603165,87448832,,1309132800,1:20,,1496880000,,,,,,,,,,https://logo.clearbit.com/aquabiotechnology.com,,,,,,,,
AKERBP,1366,Energy,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,47 51 35 30 00,Norway,[],http://www.akerbp.com,1,Building B,Oil & Gas E&P,Fornebuporten OksenOeyveien 10 Lysaker,151.85,153,166.42628,0.012038195,,,154,,765925,,151.85,161.05882,1.828,153,,765925,,,,7.41,1596153600,1.745073,,,151.05,2,NOK,422252,,,,54635614208,,,761047,17.832945,151.05,151.8,,0,422252,297.9,89.2647,,,89.42,151.65,False,0.0479,0,154,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKERBP.OL,finmb_9048461,no_market,,19.085,,-0.031630002,26.686,-0.37092835,,1.7,,360036992,,,5.317,,,,1577750400,0.16023001,-96917000,-0.269,1.85169,0.16381514,28.540531,0.70299006,1640908800,1593475200,,,106621955,58470850560,,1261526400,1:1,,1596153600,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,1703,,,,,,,
FIVEPG,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,Electronic Gaming & Multimedia,,1.15,1.12,1.6002368,,0,,1.14,,3618687,,1.15,1.5172058,,1.12,,3618687,,,,,,2.667487,,,1.05,4,NOK,4629550,,,,113760264,,,3431019,,1.05,1.07,,0,4629550,3.8,,,,0.25,1.07,False,,0,1.14,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.201365,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.16381514,6.149426,0.50402,1640908800,1593475200,,,49610003,77154896,,1511913600,1:5,,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16,,,,,,,
ANDF-ME,8400,Consumer Defensive,"Andfjord Salmon AS engages in the shore based farming of Atlantic salmon. The company holds a license for 10,000 tons maximum allowed biomass (MAB) for land-based farming. Andfjord Salmon AS was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,Farm Products,,52.78,52.78,52.670677,,0,,53.5,,20547,,52.78,50.02088,,52.78,,20547,,,,,,,,,52.5,2,NOK,7264,,,,1769281536,,,23101,1074.551,52.5,52.5,,,7264,65,,,,46.5,52.15,False,,,53.5,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,976.25,,0,,-0.10490692,,,,33700600,,,8.402,,,,1577750400,,-10354177,-0.307,,0.16381514,6.248512,,1640908800,1593475200,,,10509211,1607425920,,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,,,,,,,
AKA,1366,Energy,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,47 21 52 58 00,Norway,[],http://akastor.com,1,Building B,Oil & Gas Equipment & Services,OksenÃ¸yveien 10 Lysaker,6.34,6.34,5.1462045,,0,,6.87,,107594,,6.34,6.317941,,6.34,,107594,,,,,1397174400,1.56096,,,6.32,2,NOK,195117,,,,1789909888,,,391231,0.31607097,6.32,6.66,,52200,195117,12,16.475,,,3.52,6.59,False,,227000,6.87,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKA.OL,finmb_874402,no_market,,0.708,,-0.0498,12.89,-0.38109165,,0.4,,271609984,,,14.855,,,,1577750400,0.25563,-152000000,-0.981,4.1,0.16381514,0.4436217,0.51141,1640908800,1593475200,,,136612714,4008857088,,1175212800,5:1,,1397174400,,,,,,,,,,https://logo.clearbit.com/akastor.com,2112,,,,,,,
