ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err,state
AASB-ME,7630,Financial Services,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Asen,47 74 08 63 00,Norway,[],http://aasen-sparebank.no,1,Stasjonsvegen 1,47 74 08 63 01,Banks—Regional,114,114,120.195656,0.07017544,1.0156,,114,,0,,114,113.26471,8,114,,0,,,,8,1583798400,0.40223,,,114,2,NOK,3.0497591,0,,,,115585744,,,39,1.1200169,114,116,,,0,153,,,,105,111,False,0.070199996,,114,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0,,,,1013910,,,485.692,,,,1577750400,0,37900000,37.38,,0.16254902,0.23471665,0,1640908800,1585612800,,,553343,729858112,,,,,,-0.328,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,,,,,,,,
FIVEPG,1123,Communication Services,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,,Denmark,[],http://www.5thplanetgames.com,1,Gothersgade 11,,Electronic Gaming & Multimedia,1.965,2.03,1.2351118,,0,,2.03,,4160699,,1.965,1.7364832,,2.03,,4160699,,,,,,2.714866,,,1.985,4,NOK,,1990801,,,,213699184,,,5967829,,1.985,2.02,,0,1990801,3.8,,,,0.25,2.01,False,,0,2.03,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0,,1.5923483,,,,106318000,,,0.174,,,,1577750400,0,,-0.118,,0.16254902,11.551724,0.50402,1640908800,1577750400,,,46798691,105591256,,1511913600,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,16,,,,,,,
2020,HM11,Industrials,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,441 542 9329,Bermuda,[],http://www.2020bulkers.com,1,S.E. Pearman Building,,Marine Shipping,55.8,57.2,55.37826,0.0029569895,2.2674,,57.2,,6187,,55.8,55.058823,0.165,57.2,,6187,,,,1.86,1581552000,1.07216,,,55.4,2,NOK,908.1967,2111,,,,1228267904,,,29336,72.67857,55.4,56.4,,,2111,93.8,,,,39,55.4,False,0.0325,,57.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000,EQUITY,2020.OL,finmb_544117951,no_market,,83.973,,0.07692,,-0.20285714,,,,22170900,,,6.184,,,,1577750400,0.19871001,1300000,0.061,,0.16254902,8.958603,0.57717997,1640908800,1585612800,,,9024667,1419136512,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,4,2nd Floor 9 Par-la-Ville Road,,,,,,
AEGA,274,Utilities,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.aega.no,1,Thunes vei 2,,Utilities—Renewable,1.32,1.32,1.2319565,0.0030303032,,,1.34,,21444,,1.32,1.2355882,0.004,1.32,,21444,,,,0.04,1591142400,-0.700348,,,1.3,4,NOK,,16228,,,,64388072,,,50420,,1.3,1.34,,394100,16228,1.85,,,,1.05,1.32,False,0.030299999,60000,1.34,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0,,-0.13725483,,,,48050800,,,0.165,,,,1577750400,0,,-0.058,,0.16254902,8.121212,0.46798,1640908800,1585612800,,,24350240,63427100,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,2,,,,,,,
ADSC-ME,4532,Industrials,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,357 2 5335501,Cyprus,[],http://www.adscrude.com,1,OSM House,,Marine Shipping,18.2,18.2,22.084421,,0.4088,,18.2,,37695,,18.2,18.735294,,18.2,,37695,,,,4.21,1591228800,,,,17.95,2,NOK,,35428,,,,419855904,,,82649,,17.95,18,,,35428,33.4,,,,16.1,17.95,False,0.22760001,,18.2,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0,,-0.080807984,,,,23390300,,,,,,,,0.09734,,,,0.16254902,,0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,,22 Amathountos Agios Tychonas,,,,,,
ADE,0159,Communication Services,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,47 23 10 66 00,Norway,[],http://www.adevinta.com,1,Grensen 5,,Internet Content & Information,160.1,160.1,104.38587,,0,,161.2,,725505,,160.1,120.39265,,160.1,,725505,,,,,,,,,155.4,2,NOK,,246607,,,,107180597248,,,415633,,155.4,156.6,,,246607,168.2,,,,66.7,156.3,False,,,161.2,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5453669,,,,684860032,,,,,,,1577750400,0.20231001,,,,0.16254902,,0.66005,1640908800,1593475200,,,227841750,104865497088,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,3564,,,,,,,
AKBM-ME,1327,Healthcare,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,47 24 13 00 00,Norway,[],http://www.akerbiomarine.com,1,Oksenoyveien 10,47 24 13 01 10,Drug Manufacturers—Specialty & Generic,89.75,93.48,96.78042,,,,94.78,,28526,,89.75,96.78042,,93.48,,28526,,,,,,,,,90.6,2,NOK,,171863,,,,,,,158295,,90.6,92.46,,,171863,114,,,,87,92.3,False,,,94.78,OSL,AKER BIOMARINE AS,Aker BioMarine ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,39.898,,-0.00658,187.606,-0.14278889,,,,,,,2.589,,,,1546214400,,-1022000,-0.015,,0.16254902,35.72808,,1609372800,1514678400,,,14611039,6197555712,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,,PO Box 496,,,,,,
AZT,9294,Healthcare,"ArcticZymes Technologies ASA develops, manufactures, and markets immunomodulating beta-glucans and recombinant enzymes in Norway, Europe, Asia, Australia, Africa, and the Americas. It operates through two segments, Enzymes and Beta-Glucans. The company provides recombinant enzymes that are primarily derived from cold-water marine species and organisms from other relevant environments for use in molecular research, in vitro diagnostics, and therapeutics. It offers shrimp alkaline phosphatase and derived kits for cleanup prior to Sanger sequencing and next generation sequencing (NGS) processes; cod UNG for use in viral and other molecular diagnostic assays; double-strand specific DNases and derived kits for the removal of DNA from RNA samples; polymerases for technology development for life science, molecular diagnostics, NGS, and synthetic biology; proteinase for microbiological diagnostics and liquid biopsies; salt active nuclease for the removal of nucleic acids during manufacturing of vaccines, viruses, recombinant proteins, and other reagents; and ligases for joining DNA fragments. The company also provides immunomodulating beta-glucans products for the wound care, animal and consumer health, and adjuvants markets. It offers Woulgan wound gel; M-Glucan, a natural immune-stimulating product for fish and animal feed; and M-Gard, a natural immune-stimulating ingredients to enhance physical health. The company was formerly known as Biotec Pharmacon ASA and changed its name to ArcticZymes Technologies ASA in June 2020. ArcticZymes Technologies ASA was founded in 1990 and is headquartered in TromsÃ¸, Norway.",Tromso,47 77 64 89 00,Norway,[],http://arcticzymes.com,1,Sykehusveien 23,47 77 64 89 01,Biotechnology,49.4,49,,,0,,51,,,,49.4,,,49,,,,,,,,1.34727,,,47.4,2,NOK,189.61539,312527,,,,2382900736,,,,22.898855,47.4,49.3,,,312527,51,,,,47.4,48.9,False,,,51,OSL,ARCTICZYMES TECH,ArcticZymes Technologies ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AZT.OL,finmb_13529463,no_market,,22.755,,0.121549994,174.308,,,,,48334700,,,1.21,,,,1577750400,0.0896,12649000,0.26,,0.16254902,40.7438,0.3134,1640908800,1585612800,,,23883612,2367977728,,,,,,,,,,,,,,https://logo.clearbit.com/arcticzymes.com,36,PO Box 6463,,,,,,
AKVA,4353,Industrials,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,47 51 77 85 00,Norway,[],http://www.akvagroup.com,1,Plogfabrikkvegen 11,,Farm & Heavy Construction Machinery,62,62,60.86087,0.032258064,,,62.4,,3831,,62,62.30588,2,62,,3831,,,,2,1582502400,0.655052,,,61.2,2,NOK,,718,,,,2055696768,,,5965,0.69053304,61.2,62,,49600,718,83,10.820244,,,41.3,61.2,False,0.0319,34200,62.4,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000,EQUITY,AKVA.OL,finmb_162314,no_market,,1.096,,-0.00014,25.176,-0.17989415,,5.73,,33156400,,,31.171,,,,1577750400,0.13203,-422000,-0.014,,0.16254902,1.9890283,0.7511,1640908800,1585612800,,,8065299,3261757952,,,,,,-0.417,,,,,,,,https://logo.clearbit.com/akvagroup.com,1444,,,,,,,
ANDF-ME,8400,Consumer Defensive,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,,Norway,[],http://www.andfjordsalmon.com,1,Havnegata 19,,Farm Products,55.2,55.2,54.911213,,0,,55.48,,14075,,55.2,54.911213,,55.2,,14075,,,,,,,,,54.75,2,NOK,,3054,,,,,,,51566,,54.75,55,,,3054,65,,,,46.5,54.8,False,,,55.48,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,1001.54,,0,-205.864,-0.06598979,,,,,,,4.914,,,,1577750400,,-6394534,-0.214,,0.16254902,11.141636,,1640908800,,,,,1649066880,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,8402 Sortland,,,,,,
